"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","lanza ConflictError si el email ya existe","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 3: email único","",""
"","1","rechaza email sin dominio","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 1: email con formato válido","",""
"","446","incluye token en la respuesta exitosa","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 4: retorna JWT al registrarse","",""
"","468","acepta email válido","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 1: email con formato válido","",""
"","1","título con solo espacios","TaskService","2026-06-09","failed","2026-06-09","","Validación de título de tarea","",""
"","833","bloquea la cuenta después de 5 intentos fallidos — BUG-05","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 3: bloqueo por intentos fallidos","",""
"","2","título con exactamente 100 caracteres","TaskService","2026-06-09","passed","2026-06-09","","Validación de título de tarea","",""
"","0","rechaza contraseña sin número","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 2: contraseña con requisitos de seguridad","",""
"","0","transición inválida TODO -> TODO","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Transiciones INVÁLIDAS","",""
"","1","transición inválida TODO -> DONE","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Transiciones INVÁLIDAS","",""
"","0","rechaza contraseña menor a 8 caracteres","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 2: contraseña con requisitos de seguridad","",""
"","1","título más de 100 caracteres","TaskService","2026-06-09","failed","2026-06-09","","Validación de título de tarea","",""
"","1","respeta el bloqueo si lockedUntil está en el futuro","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 3: bloqueo por intentos fallidos","",""
"","3","transición válida TODO -> IN_PROGRESS","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Validación de transición de estado","",""
"","477","acepta contraseña válida con mayúscula y número","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 2: contraseña con requisitos de seguridad","",""
"","0","título válido","TaskService","2026-06-09","failed","2026-06-09","","Validación de título de tarea","",""
"","5","registra la transición en statusHistory","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Registro de historial","",""
"","5","rechaza email sin @","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 1: email con formato válido","",""
"","0","lanza UnauthorizedError si el usuario no existe","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 2: credenciales incorrectas","",""
"","2","llama a findUnique con el email correcto","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 3: email único","",""
"","1","rechaza contraseña sin mayúscula","AuthService.register — US-01","2026-06-09","passed","2026-06-09","","Criterio 2: contraseña con requisitos de seguridad","",""
"","1","transición válida IN_PROGRESS -> DONE","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Validación de transición de estado","",""
"","1","título con exactamente 3 caracteres","TaskService","2026-06-09","failed","2026-06-09","","Validación de título de tarea","",""
"","862","el token generado incluye campo de expiración (exp) — BUG-07","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 1: login exitoso retorna JWT","",""
"","877","lanza UnauthorizedError con password incorrecto","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 2: credenciales incorrectas","",""
"","0","transición inválida IN_PROGRESS -> TODO","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Transiciones INVÁLIDAS","",""
"","830","retorna token para credenciales válidas","AuthService.login — US-02","2026-06-09","passed","2026-06-09","","Criterio 1: login exitoso retorna JWT","",""
"","9","título menos de 3 caracteres","TaskService","2026-06-09","failed","2026-06-09","","Validación de título de tarea","",""
"","1","transición inválida DONE -> TODO","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Transiciones INVÁLIDAS","",""
"","1","no registra historial si el estado no cambia","TaskService — máquina de estados (US-06)","2026-06-09","passed","2026-06-09","","Registro de historial","",""
